Model,Predictor,Alpha,Perturbation,Top1,Top5,Coverage,Size
ResNeXt101,Fixed,0.05,blur,0.2829666666259765,0.7791666666259766,0.9076333333333333,7.1633
ResNeXt101,Fixed,0.05,brightness,0.3919333333129883,0.8609333333333333,0.9413,6.9034
ResNeXt101,Fixed,0.05,erasure,0.3570333332926432,0.8384999999186198,0.9166,6.412
ResNeXt101,Fixed,0.05,jpeg,0.363999999979655,0.8405999999186198,0.9255333333333333,6.507666666666666
ResNeXt101,Naive,0.05,clean,0.4917666666056315,0.9080666665852865,0.9492,5.951133333333333
ResNeXt101,Naive,0.05,gaussian_noise,0.4830333333129883,0.9041999999186198,0.9516,6.063933333333333
ResNeXt101,Naive,0.05,blur,0.28296666665649417,0.7791666666666667,0.9059666666666667,7.1479333333333335
ResNeXt101,Naive,0.05,brightness,0.3919333332926432,0.8609333333333333,0.9419666666666666,6.891533333333333
ResNeXt101,Naive,0.05,erasure,0.3616666666361491,0.839133333251953,0.9159,6.4018
ResNeXt101,Naive,0.05,jpeg,0.363999999979655,0.8406,0.9251333333333334,6.497733333333334
ResNeXt101,APS,0.05,clean,0.4917666666463216,0.9080666666259766,0.9488,5.9529
ResNeXt101,APS,0.05,gaussian_noise,0.4828333333129883,0.9040999999186198,0.9528,6.066066666666667
ResNeXt101,APS,0.05,blur,0.28296666665649417,0.7791666666259766,0.9073333333333333,7.1443
ResNeXt101,APS,0.05,brightness,0.3919333332926432,0.8609333333333333,0.9408333333333333,6.8937333333333335
ResNeXt101,APS,0.05,erasure,0.35846666664632165,0.8396666665852864,0.9178,6.421
ResNeXt101,APS,0.05,jpeg,0.3639999999593099,0.8406,0.9254333333333333,6.491866666666667
ResNeXt101,RAPS,0.05,clean,0.4917666666666667,0.9080666666666667,0.9491666666666667,5.9448
ResNeXt101,RAPS,0.05,gaussian_noise,0.48219999997965496,0.9049666666666667,0.9530333333333333,6.0488333333333335
ResNeXt101,RAPS,0.05,blur,0.28296666666666664,0.7791666666259766,0.9002,7.0111
ResNeXt101,RAPS,0.05,brightness,0.39189999997965497,0.8609333332926433,0.9385,6.792766666666667
ResNeXt101,RAPS,0.05,erasure,0.3585666666259765,0.8379,0.9149333333333334,6.371833333333333
ResNeXt101,RAPS,0.05,jpeg,0.36399999996948246,0.8406,0.9238333333333333,6.443866666666667
ResNeXt101,Fixed,0.1,clean,0.4917666666463216,0.9080666666259766,0.9016666666666666,4.5647
ResNeXt101,Fixed,0.1,gaussian_noise,0.4826,0.9051999999593099,0.9055666666666666,4.671033333333333
ResNeXt101,Fixed,0.1,blur,0.28296666666666664,0.7791666665852864,0.8365333333333334,5.810833333333333
ResNeXt101,Fixed,0.1,brightness,0.3919333333231608,0.8609333333333333,0.8911666666666667,5.4974
ResNeXt101,Fixed,0.1,erasure,0.3547333333129883,0.8403666666259766,0.8467,5.0286333333333335
ResNeXt101,Fixed,0.1,jpeg,0.36399999996948246,0.8406,0.8559333333333333,5.110566666666666
ResNeXt101,Naive,0.1,clean,0.49176666658528645,0.9080666666259766,0.9025666666666666,4.5841666666666665
ResNeXt101,Naive,0.1,gaussian_noise,0.48099999995930987,0.9053,0.9044,4.685066666666667
ResNeXt101,Naive,0.1,blur,0.28296666664632164,0.7791666666666667,0.8374,5.836366666666667
ResNeXt101,Naive,0.1,brightness,0.3919333332926432,0.8609333333333333,0.8928666666666667,5.5247
ResNeXt101,Naive,0.1,erasure,0.35746666662597654,0.8372666666666667,0.8459333333333333,5.0335
ResNeXt101,Naive,0.1,jpeg,0.3640333332926432,0.8405999999593099,0.8567333333333333,5.1345
ResNeXt101,APS,0.1,clean,0.49176666658528645,0.9080666666666667,0.9018,4.5616666666666665
ResNeXt101,APS,0.1,gaussian_noise,0.48146666666666665,0.9057666666259766,0.9044333333333333,4.662
ResNeXt101,APS,0.1,blur,0.28296666665649417,0.7791999999593099,0.8358,5.807133333333334
ResNeXt101,APS,0.1,brightness,0.3919333333231608,0.8609333333333333,0.8906333333333334,5.4928333333333335
ResNeXt101,APS,0.1,erasure,0.3558,0.8381333332926433,0.8473333333333334,5.0189
ResNeXt101,APS,0.1,jpeg,0.363999999979655,0.8405999999186198,0.8560666666666666,5.115266666666667
ResNeXt101,RAPS,0.1,clean,0.4917666666463216,0.9080666666259766,0.9016333333333333,4.590866666666667
ResNeXt101,RAPS,0.1,gaussian_noise,0.4818333332926432,0.9033666666259766,0.8997,4.6457
ResNeXt101,RAPS,0.1,blur,0.283,0.7791666666259766,0.7976,5.194233333333333
ResNeXt101,RAPS,0.1,brightness,0.3919333333129883,0.8609333332519531,0.8685333333333334,5.069166666666667
ResNeXt101,RAPS,0.1,erasure,0.35796666666666666,0.8390666666666666,0.838,4.862533333333333
ResNeXt101,RAPS,0.1,jpeg,0.364,0.8405999999186198,0.8445,4.9036333333333335
ResNet152,Fixed,0.05,clean,0.46386666662597653,0.8945666665852864,0.9535666666666667,6.4117
ResNet152,Fixed,0.05,gaussian_noise,0.4508,0.8947999999186197,0.9531333333333334,6.457366666666666
ResNet152,Fixed,0.05,blur,0.2860333332926432,0.7896666666666666,0.9008666666666667,6.820033333333333
ResNet152,Fixed,0.05,brightness,0.373099999979655,0.8475333332926432,0.9369666666666666,6.831066666666667
ResNet152,Fixed,0.05,erasure,0.34736666664632165,0.8289666666259766,0.9237,6.767133333333334
ResNet152,Fixed,0.05,jpeg,0.3551333332926432,0.8372999999186197,0.9257666666666666,6.653666666666667
ResNet152,Naive,0.05,clean,0.4638333333333333,0.8945666666259766,0.9531,6.407333333333334
ResNet152,Naive,0.05,gaussian_noise,0.4533333333333333,0.8938666665852865,0.9522666666666667,6.4405
ResNet152,Naive,0.05,blur,0.2860333333129883,0.7896666666259766,0.9002333333333333,6.811766666666666
ResNet152,Naive,0.05,brightness,0.3731333333333333,0.8475333333333334,0.9368,6.8229
ResNet152,Naive,0.05,erasure,0.348399999979655,0.8318666666259766,0.9264333333333333,6.761666666666667
ResNet152,Naive,0.05,jpeg,0.3551333332926432,0.8373,0.9260666666666667,6.6489
ResNet152,APS,0.05,clean,0.46386666660563153,0.8945666665852864,0.9511333333333334,6.3672
ResNet152,APS,0.05,gaussian_noise,0.44976666662597653,0.8938666666259766,0.9516,6.413766666666667
ResNet152,APS,0.05,blur,0.2860333333333333,0.7896666666259766,0.8992666666666667,6.780366666666667
ResNet152,APS,0.05,brightness,0.373099999979655,0.8475333333333334,0.9362333333333334,6.7918
ResNet152,APS,0.05,erasure,0.3481,0.8305333332926432,0.9247666666666666,6.720133333333333
ResNet152,APS,0.05,jpeg,0.3551333333129883,0.8372666666666667,0.9238666666666666,6.6116
ResNet152,RAPS,0.05,clean,0.4638666666361491,0.8945666666259766,0.9551333333333333,6.4944
ResNet152,RAPS,0.05,gaussian_noise,0.45236666664632164,0.8923,0.9546,6.5395666666666665
ResNet152,RAPS,0.05,blur,0.2860333333129883,0.7896666666259766,0.9036333333333333,6.8970666666666665
ResNet152,RAPS,0.05,brightness,0.3731333332926432,0.8475333333333334,0.9386666666666666,6.910333333333333
ResNet152,RAPS,0.05,erasure,0.3467333332926432,0.8311666666666667,0.931,6.842766666666667
ResNet152,RAPS,0.05,jpeg,0.35513333333333336,0.8373,0.9281333333333334,6.732633333333333
ResNet152,Fixed,0.1,clean,0.46386666664632165,0.8945666666666666,0.899,4.8505
ResNet152,Fixed,0.1,gaussian_noise,0.4510333332926432,0.8935666666259766,0.9004666666666666,4.890266666666666
ResNet152,Fixed,0.1,blur,0.2860333333333333,0.7896666666259766,0.8168,5.299433333333333
ResNet152,Fixed,0.1,brightness,0.3731,0.8475,0.8739666666666667,5.319533333333333
ResNet152,Fixed,0.1,erasure,0.34749999995930986,0.8322333333333334,0.8532666666666666,5.2203
ResNet152,Fixed,0.1,jpeg,0.35513333333333336,0.8372999999593099,0.8520666666666666,5.111266666666666
ResNet152,Naive,0.1,clean,0.46386666660563153,0.8945666666666666,0.9007,4.8827
ResNet152,Naive,0.1,gaussian_noise,0.4537333333333333,0.8933666666666666,0.9024,4.934233333333333
ResNet152,Naive,0.1,blur,0.2860333332926432,0.7896666666259766,0.8187,5.332533333333333
ResNet152,Naive,0.1,brightness,0.373099999979655,0.8475333332926432,0.8764,5.3496
ResNet152,Naive,0.1,erasure,0.34639999998982746,0.8312666666259766,0.8548666666666667,5.2597
ResNet152,Naive,0.1,jpeg,0.3551333333129883,0.8372999999593099,0.8549666666666667,5.146766666666666
ResNet152,APS,0.1,clean,0.46386666664632165,0.8945666666666666,0.9,4.8735
ResNet152,APS,0.1,gaussian_noise,0.4516999999593099,0.8949999999593099,0.9011,4.9121
ResNet152,APS,0.1,blur,0.2860333333129883,0.7896666666666666,0.8178666666666666,5.321066666666667
ResNet152,APS,0.1,brightness,0.373099999979655,0.8474999999186198,0.8751333333333333,5.338566666666667
ResNet152,APS,0.1,erasure,0.34949999995930986,0.8317333333333333,0.8547333333333333,5.250466666666667
ResNet152,APS,0.1,jpeg,0.3551333333129883,0.8373,0.8547333333333333,5.1372
ResNet152,RAPS,0.1,clean,0.46386666666666665,0.8945666666666666,0.9002,4.9077
ResNet152,RAPS,0.1,gaussian_noise,0.450299999979655,0.8930999999186198,0.9001,4.945833333333334
ResNet152,RAPS,0.1,blur,0.2860333333129883,0.7896666665852864,0.8137666666666666,5.2763333333333335
ResNet152,RAPS,0.1,brightness,0.37309999998982746,0.8475333333333334,0.8721,5.303
ResNet152,RAPS,0.1,erasure,0.3493333333129883,0.8346999999186198,0.8551666666666666,5.240333333333333
ResNet152,RAPS,0.1,jpeg,0.3551333333129883,0.8372999999186197,0.8537333333333333,5.126366666666667
ResNet101,Fixed,0.05,clean,0.4339999999593099,0.8949666666666667,0.9499666666666666,6.362233333333333
ResNet101,Fixed,0.05,gaussian_noise,0.425599999979655,0.8879333333333334,0.9482666666666667,6.387766666666667
ResNet101,Fixed,0.05,blur,0.2617666666564942,0.7657999999593099,0.8704333333333333,6.635166666666667
