Model,Predictor,Alpha,Perturbation,Top1,Top5,Coverage,Size
ResNet50,RAPS,0.1,clean,0.475,0.904,0.901,4.752
ResNet50,RAPS,0.1,gaussian_noise,0.464,0.902,0.903,4.811
ResNet50,RAPS,0.1,blur,0.319,0.823,0.834,5.092
ResNet50,RAPS,0.1,brightness,0.372,0.85,0.866,5.221
ResNet50,RAPS,0.1,erasure,0.36,0.837,0.841,4.992
ResNet50,RAPS,0.1,jpeg,0.352,0.838,0.839,4.952
ResNet18,Fixed,0.05,clean,0.422,0.88,0.95,6.686
ResNet18,Fixed,0.05,gaussian_noise,0.415,0.876,0.951,6.785
ResNet18,Fixed,0.05,blur,0.2,0.741,0.868,6.621
ResNet18,Fixed,0.05,brightness,0.326,0.811,0.957,7.754
ResNet18,Fixed,0.05,erasure,0.325,0.813,0.931,7.095
ResNet18,Fixed,0.05,jpeg,0.315,0.821,0.93,6.986
ResNet18,Naive,0.05,clean,0.422,0.88,0.95,6.674
ResNet18,Naive,0.05,gaussian_noise,0.414,0.879,0.952,6.771
ResNet18,Naive,0.05,blur,0.2,0.741,0.868,6.608
ResNet18,Naive,0.05,brightness,0.326,0.811,0.956,7.74
ResNet18,Naive,0.05,erasure,0.32,0.819,0.931,7.082
ResNet18,Naive,0.05,jpeg,0.315,0.821,0.928,6.972
ResNet18,APS,0.05,clean,0.422,0.88,0.949,6.648
ResNet18,APS,0.05,gaussian_noise,0.413,0.877,0.951,6.751
ResNet18,APS,0.05,blur,0.2,0.741,0.867,6.59
ResNet18,APS,0.05,brightness,0.326,0.811,0.956,7.727
ResNet18,APS,0.05,erasure,0.319,0.813,0.929,7.072
ResNet18,APS,0.05,jpeg,0.315,0.821,0.927,6.952
ResNet18,RAPS,0.05,clean,0.422,0.88,0.947,6.577
ResNet18,RAPS,0.05,gaussian_noise,0.415,0.878,0.947,6.669
ResNet18,RAPS,0.05,blur,0.2,0.741,0.863,6.539
ResNet18,RAPS,0.05,brightness,0.326,0.811,0.951,7.597
ResNet18,RAPS,0.05,erasure,0.32,0.815,0.927,6.983
ResNet18,RAPS,0.05,jpeg,0.315,0.821,0.923,6.873
ResNet18,Fixed,0.1,clean,0.422,0.88,0.905,5.383
ResNet18,Fixed,0.1,gaussian_noise,0.413,0.877,0.906,5.499
ResNet18,Fixed,0.1,blur,0.2,0.741,0.765,5.324
ResNet18,Fixed,0.1,brightness,0.326,0.811,0.907,6.487
ResNet18,Fixed,0.1,erasure,0.323,0.816,0.868,5.817
ResNet18,Fixed,0.1,jpeg,0.315,0.821,0.864,5.681
ResNet18,Naive,0.1,clean,0.422,0.88,0.906,5.384
ResNet18,Naive,0.1,gaussian_noise,0.412,0.878,0.907,5.489
ResNet18,Naive,0.1,blur,0.2,0.741,0.765,5.324
ResNet18,Naive,0.1,brightness,0.326,0.811,0.906,6.482
ResNet18,Naive,0.1,erasure,0.316,0.812,0.865,5.805
ResNet18,Naive,0.1,jpeg,0.315,0.821,0.865,5.677
ResNet18,APS,0.1,clean,0.422,0.88,0.906,5.407
ResNet18,APS,0.1,gaussian_noise,0.413,0.876,0.907,5.503
ResNet18,APS,0.1,blur,0.2,0.741,0.767,5.342
ResNet18,APS,0.1,brightness,0.327,0.811,0.909,6.508
ResNet18,APS,0.1,erasure,0.323,0.813,0.866,5.84
ResNet18,APS,0.1,jpeg,0.315,0.821,0.866,5.698
ResNet18,RAPS,0.1,clean,0.422,0.88,0.906,5.372
ResNet18,RAPS,0.1,gaussian_noise,0.415,0.879,0.908,5.461
ResNet18,RAPS,0.1,blur,0.2,0.741,0.769,5.348
ResNet18,RAPS,0.1,brightness,0.326,0.811,0.902,6.388
ResNet18,RAPS,0.1,erasure,0.32,0.816,0.869,5.764
ResNet18,RAPS,0.1,jpeg,0.315,0.821,0.865,5.654
DenseNet161,Fixed,0.05,clean,0.514,0.925,0.953,5.756
DenseNet161,Fixed,0.05,gaussian_noise,0.481,0.913,0.947,5.84
DenseNet161,Fixed,0.05,blur,0.286,0.79,0.854,6.148
DenseNet161,Fixed,0.05,brightness,0.417,0.877,0.938,6.383
DenseNet161,Fixed,0.05,erasure,0.38,0.858,0.935,6.54
DenseNet161,Fixed,0.05,jpeg,0.362,0.847,0.927,6.591
DenseNet161,Naive,0.05,clean,0.514,0.925,0.953,5.739
DenseNet161,Naive,0.05,gaussian_noise,0.48,0.912,0.945,5.816
DenseNet161,Naive,0.05,blur,0.286,0.79,0.854,6.136
DenseNet161,Naive,0.05,brightness,0.417,0.877,0.937,6.364
DenseNet161,Naive,0.05,erasure,0.377,0.856,0.934,6.532
DenseNet161,Naive,0.05,jpeg,0.362,0.847,0.926,6.577
DenseNet161,APS,0.05,clean,0.514,0.925,0.952,5.723
DenseNet161,APS,0.05,gaussian_noise,0.485,0.913,0.944,5.817
DenseNet161,APS,0.05,blur,0.286,0.79,0.853,6.123
DenseNet161,APS,0.05,brightness,0.417,0.877,0.937,6.357
